epoch: 10, wins per 10: 6, avg checkers diff: 2.3
epoch: 3170, loss = 157.814, wins per 10: 9, avg checkers diff: 10.3
epoch: 3180, loss = 195.333, wins per 10: 6, avg checkers diff: 3.2
epoch: 3190, loss = 273.208, wins per 10: 8, avg checkers diff: 4.1
epoch: 3200, loss = 409.407, wins per 100: 82, avg checkers diff: 7.58
finished testing: 77.0 %
epoch: 3210, loss = 239.242, wins per 10: 7, avg checkers diff: 6.4
epoch: 3220, loss = 269.344, wins per 10: 6, avg checkers diff: 6.1
epoch: 3230, loss = 243.103, wins per 10: 7, avg checkers diff: 3.2
epoch: 3240, loss = 189.822, wins per 10: 6, avg checkers diff: 2.0
epoch: 3250, loss = 411.627, wins per 10: 6, avg checkers diff: 4.4
epoch: 3260, loss = 257.361, wins per 10: 7, avg checkers diff: 6.3
epoch: 3270, loss = 150.241, wins per 10: 9, avg checkers diff: 9.7
epoch: 3280, loss = 340.654, wins per 10: 8, avg checkers diff: 8.7
epoch: 3290, loss = 232.504, wins per 10: 6, avg checkers diff: 3.6
epoch: 3300, loss = 194.735, wins per 100: 69, avg checkers diff: 5.75
epoch: 3310, loss = 216.553, wins per 10: 6, avg checkers diff: 5.7
epoch: 3320, loss = 416.576, wins per 10: 5, avg checkers diff: 2.6
epoch: 3330, loss = 125.334, wins per 10: 7, avg checkers diff: 5.8
epoch: 3340, loss = 300.005, wins per 10: 10, avg checkers diff: 13.0
epoch: 3350, loss = 389.738, wins per 10: 8, avg checkers diff: 9.2
epoch: 3360, loss = 508.044, wins per 10: 9, avg checkers diff: 10.3
epoch: 3370, loss = 202.529, wins per 10: 7, avg checkers diff: 7.7
epoch: 3380, loss = 562.478, wins per 10: 10, avg checkers diff: 13.0
epoch: 3390, loss = 626.905, wins per 10: 8, avg checkers diff: 6.2
epoch: 3400, loss = 219.705, wins per 100: 80, avg checkers diff: 8.52
finished testing: 81.0 %
epoch: 3410, loss = 418.786, wins per 10: 8, avg checkers diff: 7.8
epoch: 3420, loss = 207.076, wins per 10: 10, avg checkers diff: 9.8
epoch: 3430, loss = 453.376, wins per 10: 8, avg checkers diff: 8.4
epoch: 3440, loss = 424.948, wins per 10: 8, avg checkers diff: 11.2
epoch: 3450, loss = 127.611, wins per 10: 7, avg checkers diff: 8.7
epoch: 3460, loss = 133.778, wins per 10: 6, avg checkers diff: 3.5
epoch: 3470, loss = 313.323, wins per 10: 8, avg checkers diff: 7.8
epoch: 3480, loss = 189.603, wins per 10: 7, avg checkers diff: 4.5
epoch: 3490, loss = 522.402, wins per 10: 8, avg checkers diff: 8.4
epoch: 3500, loss = 312.305, wins per 100: 80, avg checkers diff: 7.89
epoch: 3510, loss = 615.088, wins per 10: 6, avg checkers diff: 1.4
epoch: 3520, loss = 439.915, wins per 10: 6, avg checkers diff: 0.8
epoch: 3530, loss = 277.115, wins per 10: 4, avg checkers diff: -0.1
epoch: 3540, loss = 415.631, wins per 10: 10, avg checkers diff: 12.7
epoch: 3550, loss = 473.110, wins per 10: 8, avg checkers diff: 8.3
epoch: 3560, loss = 382.959, wins per 10: 6, avg checkers diff: 2.2
epoch: 3570, loss = 244.908, wins per 10: 10, avg checkers diff: 13.1
epoch: 3580, loss = 364.888, wins per 10: 7, avg checkers diff: 7.4
epoch: 3590, loss = 188.758, wins per 10: 9, avg checkers diff: 10.3
epoch: 3600, loss = 609.707, wins per 100: 76, avg checkers diff: 6.97
finished testing: 71.0 %
epoch: 3610, loss = 915.083, wins per 10: 7, avg checkers diff: 6.3
epoch: 3620, loss = 582.394, wins per 10: 8, avg checkers diff: 8.2
epoch: 3630, loss = 205.969, wins per 10: 8, avg checkers diff: 8.1
epoch: 3640, loss = 266.545, wins per 10: 7, avg checkers diff: 6.9
epoch: 3650, loss = 1010.851, wins per 10: 5, avg checkers diff: 2.6
epoch: 3660, loss = 893.926, wins per 10: 10, avg checkers diff: 12.9
