epoch: 3870, loss = 3.347, wins per 10: 2, avg checkers diff: -6.3
epoch: 3880, loss = 2.937, wins per 10: 1, avg checkers diff: -9.3
epoch: 3890, loss = 8.202, wins per 10: 0, avg checkers diff: -10.5
epoch: 3900, loss = 6.327, wins per 100: 24, avg checkers diff: -6.35
epoch: 3910, loss = 2.844, wins per 10: 2, avg checkers diff: -4.2
epoch: 3920, loss = 5.228, wins per 10: 4, avg checkers diff: -2.6
epoch: 3930, loss = 5.496, wins per 10: 1, avg checkers diff: -10.0
epoch: 3940, loss = 4.560, wins per 10: 1, avg checkers diff: -8.7
epoch: 3950, loss = 4.962, wins per 10: 1, avg checkers diff: -7.9
epoch: 3960, loss = 2.809, wins per 10: 2, avg checkers diff: -9.1
epoch: 3970, loss = 8.438, wins per 10: 3, avg checkers diff: -4.9
epoch: 3980, loss = 4.247, wins per 10: 1, avg checkers diff: -9.8
epoch: 3990, loss = 12.585, wins per 10: 2, avg checkers diff: -9.9
epoch: 4000, loss = 6.028, wins per 100: 17, avg checkers diff: -7.92
finished testing: 26.0 %
saved checkpoint
epoch: 4010, loss = 5.119, wins per 10: 1, avg checkers diff: -8.9
epoch: 4020, loss = 3.687, wins per 10: 0, avg checkers diff: -10.7
epoch: 4030, loss = 4.692, wins per 10: 4, avg checkers diff: -2.8
epoch: 4040, loss = 1.770, wins per 10: 2, avg checkers diff: -8.1
epoch: 4050, loss = 8.382, wins per 10: 1, avg checkers diff: -10.1
epoch: 4060, loss = 17.579, wins per 10: 0, avg checkers diff: -12.4
epoch: 4070, loss = 7.050, wins per 10: 1, avg checkers diff: -9.8
epoch: 4080, loss = 5.289, wins per 10: 3, avg checkers diff: -1.0
epoch: 4090, loss = 8.282, wins per 10: 2, avg checkers diff: -8.1
epoch: 4100, loss = 5.893, wins per 100: 16, avg checkers diff: -7.97
epoch: 4110, loss = 6.649, wins per 10: 1, avg checkers diff: -7.4
epoch: 4120, loss = 5.318, wins per 10: 3, avg checkers diff: -4.4
epoch: 4130, loss = 5.681, wins per 10: 2, avg checkers diff: -7.4
epoch: 4140, loss = 2.373, wins per 10: 1, avg checkers diff: -8.6
epoch: 4150, loss = 2.856, wins per 10: 5, avg checkers diff: -1.1
epoch: 4160, loss = 3.603, wins per 10: 2, avg checkers diff: -6.3
epoch: 4170, loss = 3.464, wins per 10: 4, avg checkers diff: -2.3
epoch: 4180, loss = 4.039, wins per 10: 4, avg checkers diff: -2.1
epoch: 4190, loss = 2.550, wins per 10: 4, avg checkers diff: -1.9
epoch: 4200, loss = 4.331, wins per 100: 29, avg checkers diff: -4.51
finished testing: 27.0 %
epoch: 4210, loss = 5.285, wins per 10: 1, avg checkers diff: -8.6
epoch: 4220, loss = 4.560, wins per 10: 3, avg checkers diff: -5.0
epoch: 4230, loss = 2.733, wins per 10: 1, avg checkers diff: -9.5
epoch: 4240, loss = 3.516, wins per 10: 4, avg checkers diff: -4.2
epoch: 4250, loss = 8.196, wins per 10: 2, avg checkers diff: -6.7
epoch: 4260, loss = 7.822, wins per 10: 4, avg checkers diff: -4.9
epoch: 4270, loss = 5.133, wins per 10: 1, avg checkers diff: -9.3
epoch: 4280, loss = 3.161, wins per 10: 3, avg checkers diff: -5.1
epoch: 4290, loss = 7.535, wins per 10: 4, avg checkers diff: -4.9
epoch: 4300, loss = 18.732, wins per 100: 25, avg checkers diff: -6.31
epoch: 4310, loss = 3.973, wins per 10: 4, avg checkers diff: -5.8
epoch: 4320, loss = 2.994, wins per 10: 3, avg checkers diff: -5.0
